timestamp,current,voltage
4,0.00,5030.00
6,1.25,5031.25
8,0.00,5031.25
10,0.00,5028.75
12,0.00,5028.75
14,1.25,5030.00
16,0.00,5030.00
18,1.25,5031.25
20,0.00,5030.00
22,0.00,5026.25
24,1.25,5026.25
26,2.50,5027.50
29,2.50,5030.00
31,0.00,5031.25
33,2.50,5031.25
35,1.25,5030.00
37,1.25,5027.50
39,0.00,5028.75
41,1.25,5030.00
44,1.25,5030.00
46,0.00,5030.00
48,0.00,5028.75
50,2.50,5027.50
52,1.25,5027.50
54,1.25,5031.25
56,1.25,5031.25
58,2.50,5030.00
60,1.25,5027.50
63,1.25,5027.50
65,2.50,5028.75
67,2.50,5030.00
69,1.25,5031.25
71,1.25,5030.00
73,1.25,5028.75
75,2.50,5027.50
77,1.25,5030.00
79,0.00,5031.25
81,0.00,5030.00
83,1.25,5028.75
86,0.00,5028.75
88,1.25,5027.50
90,0.00,5031.25
92,1.25,5031.25
94,1.25,5030.00
96,0.00,5027.50
99,0.00,5027.50
101,0.00,5028.75
103,2.50,5028.75
105,2.50,5031.25
107,1.25,5030.00
109,1.25,5027.50
111,1.25,5028.75
113,1.25,5030.00
115,1.25,5032.50
118,0.00,5031.25
120,-1.25,5030.00
122,1.25,5027.50
124,1.25,5028.75
126,2.50,5031.25
129,0.00,5031.25
131,1.25,5028.75
133,0.00,5027.50
135,0.00,5028.75
138,0.00,5028.75
140,0.00,5031.25
142,0.00,5031.25
144,1.25,5030.00
146,0.00,5028.75
148,-1.25,5028.75
150,0.00,5030.00
152,1.25,5030.00
154,2.50,5030.00
157,0.00,5028.75
159,2.50,5027.50
161,1.25,5028.75
163,0.00,5031.25
165,1.25,5031.25
167,1.25,5026.25
169,1.25,5026.25
172,1.25,5028.75
175,2.50,5028.75
177,2.50,5030.00
179,1.25,5032.50
181,1.25,5028.75
183,0.00,5027.50
185,1.25,5028.75
187,1.25,5028.75
189,1.25,5031.25
192,0.00,5030.00
194,1.25,5028.75
196,1.25,5027.50
198,2.50,5028.75
200,1.25,5031.25
202,0.00,5031.25
204,2.50,5030.00
206,1.25,5028.75
208,0.00,5027.50
211,1.25,5030.00
214,2.50,5031.25
216,1.25,5028.75
218,0.00,5027.50
220,1.25,5026.25
222,0.00,5028.75
224,0.00,5031.25
226,2.50,5031.25
228,1.25,5028.75
231,1.25,5026.25
233,1.25,5027.50
235,1.25,5031.25
237,0.00,5031.25
239,0.00,5031.25
241,1.25,5030.00
243,1.25,5028.75
245,2.50,5026.25
247,1.25,5028.75
250,0.00,5031.25
252,2.50,5032.50
254,1.25,5028.75
257,0.00,5027.50
259,1.25,5028.75
261,1.25,5030.00
263,2.50,5028.75
265,1.25,5028.75
268,0.00,5027.50
270,1.25,5028.75
272,0.00,5031.25
274,0.00,5031.25
276,1.25,5031.25
278,0.00,5028.75
280,0.00,5028.75
282,1.25,5028.75
284,2.50,5028.75
287,1.25,5032.50
289,1.25,5028.75
291,1.25,5030.00
293,2.50,5028.75
295,0.00,5030.00
297,2.50,5031.25
300,1.25,5030.00
302,1.25,5027.50
304,0.00,5028.75
307,1.25,5028.75
309,1.25,5028.75
311,1.25,5030.00
313,1.25,5030.00
315,1.25,5028.75
317,-1.25,5030.00
319,0.00,5030.00
321,0.00,5031.25
324,-1.25,5030.00
326,1.25,5028.75
328,1.25,5027.50
330,0.00,5028.75
332,0.00,5028.75
334,1.25,5032.50
336,0.00,5032.50
338,1.25,5028.75
342,1.25,5027.50
344,1.25,5027.50
346,2.50,5031.25
348,0.00,5030.00
350,1.25,5028.75
352,0.00,5027.50
354,1.25,5027.50
356,0.00,5028.75
358,-1.25,5031.25
361,-1.25,5031.25
363,0.00,5027.50
365,1.25,5027.50
367,2.50,5028.75
369,0.00,5031.25
371,0.00,5031.25
373,2.50,5027.50
375,0.00,5028.75
377,0.00,5028.75
380,1.25,5028.75
382,1.25,5031.25
385,1.25,5031.25
387,0.00,5031.25
389,1.25,5028.75
391,1.25,5027.50
393,1.25,5027.50
395,0.00,5028.75
398,0.00,5031.25
400,2.50,5028.75
402,1.25,5028.75
404,1.25,5028.75
406,0.00,5030.00
408,1.25,5031.25
410,1.25,5028.75
412,1.25,5027.50
414,0.00,5027.50
417,1.25,5028.75
419,1.25,5031.25
421,0.00,5031.25
423,0.00,5027.50
425,1.25,5028.75
428,0.00,5028.75
430,1.25,5030.00
432,0.00,5031.25
434,0.00,5028.75
437,0.00,5028.75
439,-1.25,5028.75
441,1.25,5031.25
443,0.00,5030.00
445,0.00,5030.00
447,0.00,5030.00
449,0.00,5028.75
451,1.25,5028.75
453,0.00,5027.50
456,1.25,5030.00
458,2.50,5031.25
460,1.25,5027.50
462,0.00,5028.75
464,0.00,5026.25
466,0.00,5030.00
468,0.00,5032.50
471,0.00,5028.75
473,1.25,5028.75
475,2.50,5026.25
478,0.00,5030.00
480,0.00,5032.50
482,1.25,5031.25
484,1.25,5028.75
486,1.25,5027.50
488,1.25,5027.50
490,1.25,5031.25
492,1.25,5030.00
495,2.50,5028.75
497,1.25,5028.75
499,0.00,5027.50
501,1.25,5030.00
503,-1.25,5031.25
505,0.00,5031.25
507,0.00,5027.50
509,-1.25,5027.50
513,1.25,5027.50
515,1.25,5028.75
517,-1.25,5030.00
519,-1.25,5031.25
521,1.25,5028.75
523,1.25,5028.75
525,1.25,5027.50
527,1.25,5030.00
530,1.25,5032.50
532,1.25,5030.00
534,1.25,5028.75
536,1.25,5027.50
538,1.25,5030.00
540,1.25,5030.00
542,0.00,5030.00
544,2.50,5028.75
546,0.00,5027.50
549,1.25,5028.75
