timestamp,current,voltage
18813,-3.75,4178.75
18816,-1.25,4180.00
18819,-1.25,4178.75
18821,-5.00,4178.75
18823,-3.75,4178.75
18825,-2.50,4178.75
18827,-5.00,4178.75
18829,-3.75,4178.75
18832,-5.00,4178.75
18834,-2.50,4178.75
18836,-3.75,4178.75
18838,-2.50,4178.75
18840,-2.50,4178.75
18842,-3.75,4178.75
18844,-2.50,4178.75
18847,-2.50,4180.00
18849,-3.75,4180.00
18851,-5.00,4180.00
18853,-5.00,4178.75
18855,-2.50,4180.00
18857,-3.75,4180.00
18861,-3.75,4178.75
18863,-2.50,4178.75
18865,-3.75,4178.75
18867,-2.50,4178.75
18869,-3.75,4178.75
18871,-2.50,4178.75
18874,-2.50,4180.00
18876,-2.50,4178.75
18878,-5.00,4178.75
18880,-5.00,4178.75
18882,-2.50,4180.00
18884,-2.50,4178.75
18886,-3.75,4178.75
18889,-2.50,4180.00
18891,-2.50,4178.75
18893,-3.75,4180.00
18895,-3.75,4180.00
18897,-3.75,4178.75
18899,-3.75,4178.75
18903,-2.50,4178.75
18905,-3.75,4178.75
18907,-2.50,4178.75
18909,-5.00,4178.75
18911,-2.50,4180.00
18913,-5.00,4180.00
18915,-5.00,4178.75
18918,-3.75,4178.75
18920,-3.75,4178.75
18922,-3.75,4178.75
18924,-2.50,4178.75
18926,-3.75,4180.00
18928,-2.50,4178.75
18931,-2.50,4178.75
18933,-3.75,4178.75
18935,-3.75,4180.00
18937,-3.75,4178.75
18939,-3.75,4178.75
18941,-3.75,4178.75
18945,-2.50,4178.75
18947,-3.75,4178.75
18949,-2.50,4178.75
18951,-5.00,4178.75
18953,-2.50,4178.75
18955,-3.75,4178.75
18958,-3.75,4178.75
18960,-3.75,4178.75
18962,-1.25,4178.75
18964,-2.50,4178.75
18966,-3.75,4180.00
18968,-3.75,4180.00
18970,-3.75,4178.75
18973,-3.75,4177.50
18975,-3.75,4178.75
18977,-2.50,4178.75
18979,-3.75,4165.00
18981,17.50,4172.50
18983,16.25,4171.25
18987,17.50,4172.50
18989,15.00,4171.25
18991,18.75,4171.25
18993,16.25,4171.25
18995,16.25,4171.25
18998,17.50,4172.50
19000,18.75,4171.25
19002,18.75,4171.25
19004,20.00,4170.00
19006,17.50,4171.25
19008,20.00,4171.25
19011,16.25,4171.25
19013,17.50,4171.25
19015,21.25,4171.25
19017,25.00,4167.50
19019,28.75,4167.50
19022,30.00,4168.75
19024,30.00,4167.50
19026,31.25,4167.50
19028,31.25,4166.25
19031,31.25,4167.50
19033,30.00,4167.50
19036,30.00,4167.50
19038,30.00,4167.50
19040,32.50,4166.25
19042,32.50,4166.25
19044,32.50,4166.25
19047,31.25,4166.25
19049,31.25,4167.50
19051,30.00,4166.25
19053,31.25,4167.50
19055,32.50,4167.50
19057,31.25,4168.75
19060,16.25,4176.25
19062,1.25,4176.25
19064,2.50,4176.25
19066,7.50,4167.50
19068,32.50,4167.50
19070,28.75,4166.25
19074,93.75,4122.50
19076,166.25,4121.25
19078,155.00,4123.75
19080,162.50,4122.50
19083,163.75,4126.25
19085,150.00,4122.50
19087,81.25,4156.25
19089,58.75,4157.50
19091,60.00,4156.25
19094,75.00,4141.25
19096,100.00,4142.50
19098,102.50,4143.75
19100,100.00,4151.25
19102,72.50,4152.50
19105,71.25,4168.75
19107,11.25,4173.75
19109,11.25,4172.50
19111,11.25,4173.75
19113,11.25,4173.75
19116,11.25,4172.50
19119,10.00,4173.75
19121,11.25,4172.50
